model_id,model,p,q,experiment,varying_parameter,x,method,method_label,mean,se,paper_repetitions,is_horizontal_reference,source_kind,source_pdf,pdf_page
0,ModelI,100,50,exp2,r_hat,9,SOFAR,SOFAR,0.02765900,0.00018141,100,false,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp2,r_hat,11,SOFAR,SOFAR,0.02771000,0.00018829,100,false,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp2,r_hat,1,RSSVD,RSSVD,0.11375800,0.00019337,100,false,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp2,r_hat,3,RSSVD,RSSVD,0.07872600,0.00025130,100,false,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp2,r_hat,5,RSSVD,RSSVD,0.03363000,0.00024105,100,false,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp2,r_hat,7,RSSVD,RSSVD,0.03329000,0.00022361,100,false,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp2,r_hat,9,RSSVD,RSSVD,0.03295400,0.00022600,100,false,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp2,r_hat,11,RSSVD,RSSVD,0.03258400,0.00021048,100,false,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp2,r_hat,1,SMART_fixed,SMART (fixed ranks),0.10919670,0.00016090,100,false,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp2,r_hat,3,SMART_fixed,SMART (fixed ranks),0.06870846,0.00018996,100,false,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp2,r_hat,5,SMART_fixed,SMART (fixed ranks),0.00746344,0.00012017,100,false,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp2,r_hat,7,SMART_fixed,SMART (fixed ranks),0.00869035,0.00010571,100,false,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
